,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2013-06-30,1104.00000,938.00000,166.00000,-4.00000,4.00000,162.00000,-14.00000,148.00000,38.00000,110.00000,110.00000,110.00000,173.00000,162.00000,163.50000,165.40000,0.67000,0.66000
2013-03-31,1103.00000,868.00000,235.00000,-5.00000,5.00000,230.00000,-13.00000,217.00000,63.00000,154.00000,154.00000,154.00000,239.00000,230.00000,163.10000,164.90000,0.95000,0.94000
2012-12-31,1070.00000,780.00000,290.00000,-4.00000,4.00000,286.00000,-13.00000,273.00000,81.00000,192.00000,192.00000,192.00000,298.00000,286.00000,162.50000,163.70000,1.17000,1.16000
2012-09-30,1035.00000,867.00000,168.00000,-2.00000,2.00000,166.00000,-14.00000,152.00000,41.00000,111.00000,111.00000,111.00000,176.00000,166.00000,162.55500,163.85700,0.69000,0.68000
2012-06-30,1020.00000,974.00000,46.00000,-4.00000,4.00000,42.00000,-13.00000,29.00000,-3.00000,32.00000,32.00000,32.00000,53.00000,42.00000,162.42500,163.51400,0.20000,0.20000
2012-03-31,986.00000,856.00000,130.00000,-4.00000,4.00000,126.00000,-14.00000,112.00000,26.00000,86.00000,86.00000,86.00000,137.00000,126.00000,162.27700,163.14500,0.53000,0.53000
2011-12-31,955.00000,756.00000,199.00000,1.00000,-1.00000,200.00000,-14.00000,186.00000,52.00000,134.00000,134.00000,134.00000,204.00000,200.00000,162.70000,163.30000,0.82000,0.82000
2011-09-30,944.00000,916.00000,28.00000,-4.00000,4.00000,24.00000,-13.00000,11.00000,-8.00000,19.00000,19.00000,19.00000,39.00000,24.00000,162.53800,163.08600,0.12000,0.12000
2011-06-30,975.00000,1054.00000,-79.00000,-6.00000,6.00000,-85.00000,-14.00000,-99.00000,-49.00000,-50.00000,-50.00000,-50.00000,-73.00000,-85.00000,163.06900,163.06900,-0.31000,-0.31000
2011-03-31,929.00000,837.00000,92.00000,-4.00000,4.00000,88.00000,-13.00000,75.00000,14.00000,61.00000,61.00000,61.00000,99.00000,88.00000,162.94000,163.67000,0.38000,0.38000
2010-12-31,936.00000,746.00000,190.00000,-5.00000,5.00000,185.00000,-14.00000,171.00000,47.00000,124.00000,124.00000,124.00000,196.00000,185.00000,162.77800,163.27400,0.76000,0.76000
2010-09-30,1071.00000,833.00000,238.00000,-4.00000,4.00000,234.00000,-13.00000,221.00000,65.00000,156.00000,156.00000,156.00000,247.00000,234.00000,163.17600,163.17600,0.95000,0.95000
2010-06-30,878.00000,841.00000,37.00000,-3.00000,3.00000,34.00000,-13.00000,21.00000,-6.00000,27.00000,27.00000,27.00000,41.00000,34.00000,163.28400,163.28400,0.17000,0.17000
2010-03-31,887.00000,784.00000,103.00000,-4.00000,4.00000,99.00000,-14.00000,85.00000,17.00000,68.00000,68.00000,68.00000,109.00000,99.00000,163.31000,163.31000,0.42000,0.42000
2009-12-31,1132.00000,759.00000,373.00000,-6.00000,6.00000,367.00000,-13.00000,354.00000,109.00000,245.00000,245.00000,245.00000,384.00000,367.00000,162.59500,162.86700,1.51000,1.50000
2009-09-30,1007.00000,745.00000,262.00000,-4.00000,4.00000,258.00000,-14.00000,244.00000,73.00000,171.00000,171.00000,171.00000,265.00000,258.00000,162.90100,162.90100,1.05000,1.05000
2009-06-30,874.00000,906.00000,-32.00000,-4.00000,4.00000,-36.00000,-14.00000,-50.00000,-31.00000,-19.00000,-19.00000,-19.00000,-30.00000,-36.00000,162.55600,162.55600,-0.12000,-0.12000
2009-03-31,890.00000,836.00000,54.00000,-6.00000,6.00000,48.00000,-14.00000,34.00000,-1.00000,35.00000,35.00000,35.00000,56.00000,48.00000,162.66400,162.66400,0.22000,0.22000
