,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2015-06-30,25642.00000,1830.00000,23812.00000,15435.00000,15435.00000,8377.00000,,8377.00000,2087.00000,6290.00000,6290.00000,5776.00000,3707.80000,3743.60000,1.56000,1.54000
2015-03-31,25954.00000,1888.00000,24066.00000,15842.00000,15842.00000,8224.00000,,8224.00000,2310.00000,5914.00000,5914.00000,5452.00000,3725.30000,3757.50000,1.46000,1.45000
2014-12-31,24639.00000,1889.00000,22750.00000,16249.00000,16249.00000,6501.00000,,6501.00000,1570.00000,4931.00000,4931.00000,4488.00000,3763.50000,3797.50000,1.20000,1.20000
2014-09-30,26288.00000,1819.00000,24469.00000,16555.00000,16555.00000,7914.00000,,7914.00000,2349.00000,5565.00000,5565.00000,5128.00000,3755.40000,3788.70000,1.37000,1.35000
2014-06-30,26741.00000,2063.00000,24678.00000,16123.00000,16123.00000,8555.00000,,8555.00000,2575.00000,5980.00000,5980.00000,5568.00000,3780.60000,3812.50000,1.47000,1.46000
2014-03-31,25341.00000,2126.00000,23215.00000,15486.00000,15486.00000,7729.00000,,7729.00000,2460.00000,5269.00000,5269.00000,4893.00000,3787.20000,3823.60000,1.29000,1.28000
2013-12-31,26176.00000,2259.00000,23917.00000,16100.00000,16100.00000,7817.00000,,8261.00000,3020.00000,5241.00000,5241.00000,4975.00000,3782.40000,3814.90000,1.33000,1.32000
2013-09-30,25408.00000,2291.00000,23117.00000,22943.00000,23083.00000,34.00000,,34.00000,414.00000,-380.00000,-380.00000,-650.00000,3767.00000,3767.00000,-0.17000,-0.17000
2013-06-30,27579.00000,2368.00000,25211.00000,15761.00000,15913.00000,9298.00000,,9298.00000,2802.00000,6496.00000,6496.00000,6101.00000,3782.40000,3814.30000,1.61000,1.60000
2013-03-31,27554.00000,2432.00000,25122.00000,15888.00000,16040.00000,9082.00000,,9082.00000,2553.00000,6529.00000,6529.00000,6131.00000,3818.20000,3847.00000,1.61000,1.59000
2012-12-31,26055.00000,2402.00000,23653.00000,17269.00000,17269.00000,6384.00000,,6950.00000,1258.00000,5692.00000,5692.00000,5320.00000,3809.40000,3822.20000,1.39000,1.40000
2012-09-30,27799.00000,2653.00000,25146.00000,16978.00000,17160.00000,7986.00000,,7986.00000,2278.00000,5708.00000,5708.00000,5346.00000,3803.30000,3813.90000,1.41000,1.40000
2012-06-30,25133.00000,2953.00000,22180.00000,14989.00000,15180.00000,7000.00000,,7000.00000,2040.00000,4960.00000,4960.00000,4634.00000,3808.90000,3820.50000,1.22000,1.21000
2012-03-31,29087.00000,3035.00000,26052.00000,18878.00000,19071.00000,6981.00000,,6981.00000,2057.00000,4924.00000,4924.00000,4577.00000,3818.80000,3833.40000,1.20000,1.19000
2011-12-31,24394.00000,2923.00000,21471.00000,16517.00000,16724.00000,4747.00000,,4747.00000,1019.00000,3728.00000,3728.00000,3429.00000,3900.40000,3920.30000,0.91000,0.91000
2011-09-30,27106.00000,3343.00000,23763.00000,17733.00000,17945.00000,5818.00000,,5818.00000,1556.00000,4262.00000,4262.00000,3936.00000,3859.60000,3872.20000,1.02000,1.02000
2011-06-30,30575.00000,3796.00000,26779.00000,18440.00000,18652.00000,8127.00000,,8127.00000,2696.00000,5431.00000,5431.00000,5067.00000,3958.40000,3983.20000,1.28000,1.27000
2011-03-31,28763.00000,3542.00000,25221.00000,16947.00000,17164.00000,8057.00000,,8057.00000,2502.00000,5555.00000,5555.00000,5136.00000,3981.60000,4014.10000,1.29000,1.28000
2010-12-31,29608.00000,3510.00000,26098.00000,18846.00000,19086.00000,7012.00000,,7012.00000,2181.00000,4831.00000,4831.00000,4408.00000,3956.30000,3976.90000,1.11000,1.12000
2010-09-30,26928.00000,3104.00000,23824.00000,17403.00000,17621.00000,6203.00000,,6203.00000,1785.00000,4418.00000,4418.00000,4019.00000,3954.30000,3971.90000,1.02000,1.01000
2010-06-30,28133.00000,3032.00000,25101.00000,17759.00000,17994.00000,7107.00000,,7107.00000,2312.00000,4795.00000,4795.00000,4363.00000,3983.50000,4005.60000,1.10000,1.09000
2010-03-31,30806.00000,3135.00000,27671.00000,22891.00000,23134.00000,4537.00000,,4537.00000,1211.00000,3326.00000,3326.00000,2974.00000,3970.50000,3994.70000,0.75000,0.74000
2009-12-31,26401.00000,3237.00000,23164.00000,19002.00000,19258.00000,3906.00000,-30.00000,3876.00000,598.00000,3278.00000,3278.00000,2943.00000,3862.80000,3879.70000,0.77000,0.76000
2009-09-30,30145.00000,3523.00000,26622.00000,21202.00000,21456.00000,5166.00000,-103.00000,5063.00000,1551.00000,3512.00000,3512.00000,3240.00000,3937.90000,3962.00000,0.82000,0.82000
2009-06-30,29502.00000,3879.00000,25623.00000,21143.00000,21408.00000,4215.00000,-143.00000,4072.00000,1351.00000,2721.00000,2721.00000,1072.00000,3811.50000,3824.10000,0.28000,0.28000
2009-03-31,29584.00000,4559.00000,25025.00000,21489.00000,21764.00000,3261.00000,-205.00000,3056.00000,915.00000,2141.00000,2141.00000,1519.00000,3755.70000,3758.70000,0.40000,0.40000
