,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2012-03-31,519.00000,,270.00000,270.00000,142.00000,-494.00000,-109.00000,-461.00000,328.00000,-197.00000,,-88.00000,-192.00000,-280.00000,-36.00000,-513.00000,39.00000,39.00000,250.00000,250.00000,-133.00000,-2.00000,154.00000,-30.00000,-133.00000
2011-12-31,412,769,-529,240,861,585,-157,1289,1941,-639,-548,166,-1188,-1022,659,-1550,-232,-232,-32,-32,-127,0,-391,1,-127
2011-09-30,316,0,532,532,21,290,-51,260,1108,-183,0,-285,-246,-531,-12,-726,53,53,-278,-278,-126,-48,-399,-20,-126
2011-06-30,404,0,279,279,65,-1043,82,-896,-213,-141,0,1303,386,1689,-359,1189,-323,-323,-68,-68,-123,-437,-951,25,-123
2011-03-31,562.00000,,164.00000,164.00000,138.00000,522.00000,-257.00000,403.00000,1129.00000,-150.00000,,277.00000,-528.00000,-251.00000,-415.00000,-816.00000,-9.00000,-9.00000,-178.00000,-178.00000,-124.00000,-1.00000,-312.00000,3.00000,-124.00000
2010-12-31,671,698,-444,254,248,-2021,-94,-1867,-942,-231,0,1263,-412,851,470,1090,0,0,-44,-44,-121,4,-161,-12,-121
2010-09-30,153,0,105,105,-917,832,-78,-163,95,1,0,-429,454,25,-300,-274,417,417,-77,-77,-120,-2,218,41,-120
2010-06-30,541,0,271,271,84,-5,-385,-306,506,330,0,-570,627,57,-128,259,-555,-555,-78,-78,-164,-12,-809,-44,-164
2010-03-31,623.00000,,175.00000,175.00000,250.00000,-584.00000,-170.00000,-504.00000,294.00000,-212.00000,,1628.00000,-1785.00000,-157.00000,-42.00000,-411.00000,124.00000,124.00000,146.00000,146.00000,-192.00000,-14.00000,64.00000,-55.00000,-192.00000
2009-12-31,606,585,-341,244,148,664,165,977,1827,-311,0,-821,-1085,-1906,41,-2176,780,780,-188,-188,-193,-18,381,34,-193
2009-09-30,691,0,318,318,501,-81,-317,103,1112,-760,0,98,-380,-282,10,-1032,40,40,74,74,-188,11,-63,20,-188
2009-06-30,559,0,489,489,-50,-280,-204,-534,514,-806,0,560,-201,359,-100,-547,245,245,-33,-33,-187,-1,24,-2,-187
2009-03-31,-473.00000,,1360.00000,1360.00000,92.00000,457.00000,-298.00000,251.00000,1138.00000,-567.00000,,-1457.00000,806.00000,-651.00000,110.00000,-1108.00000,161.00000,161.00000,1.00000,1.00000,-188.00000,5.00000,-21.00000,7.00000,-188.00000
