,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-07-31,734,197,140,337,-157,398,85,231,468,1667,-117,36,0,-230,-230,-240,-551,1331,-605,726,-953,-953,-251,-13,-491,625,49,-251
2020-04-30,764,198,141,339,-311,-1406,1401,-1274,-1712,-510,-146,-36,292,8,300,0,118,-10,622,612,-123,-123,-252,4,241,-151,63,-252
2020-01-31,678.00000,198.00000,517.00000,715.00000,1167.00000,761.00000,-1919.00000,-144.00000,-162.00000,1285.00000,-198.00000,,11.00000,-311.00000,-300.00000,,-498.00000,-58.00000,2.00000,-56.00000,-691.00000,-691.00000,-256.00000,-116.00000,-1119.00000,-332.00000,109.00000,-256.00000
2019-10-31,388,205,6,211,-739,-44,85,337,-89,588,-196,-31,0,0,0,0,-227,-43,0,-43,-461,-461,-236,-3,-743,-382,64,-236
2019-07-31,1179,190,284,474,81,-386,825,1230,627,2343,-172,-23,17,-11,6,0,-189,-36,0,-36,-533,-533,-240,18,-791,1363,60,-240
2019-04-30,782,181,150,331,-314,171,-779,563,-370,861,-114,0,410,0,410,0,296,-38,-1,-39,-691,-691,-245,7,-968,189,66,-245
2019-01-31,803.00000,168.00000,265.00000,433.00000,211.00000,191.00000,-184.00000,-598.00000,-369.00000,862.00000,-189.00000,-404.00000,344.00000,-69.00000,275.00000,,-318.00000,-436.00000,-855.00000,-1291.00000,-720.00000,-720.00000,-249.00000,-83.00000,-2343.00000,-1799.00000,107.00000,-249.00000
2018-10-31,1451,140,-381,-241,-514,-15,519,95,-327,968,-125,0,259,-47,212,0,87,-39,-1246,-1285,-598,-598,-219,18,-2084,-1029,65,-219
2018-07-31,880,132,208,340,-15,-571,1187,-209,258,1514,-117,-16,243,-16,227,205,299,-33,1055,1022,-696,-696,-223,32,135,1948,55,-223
2018-04-30,1058,127,517,644,-234,86,201,638,-837,1050,-113,0,206,-36,170,564,621,-1985,74,-1911,-801,-801,-227,40,-2899,-1228,63,-227
2018-01-31,1938.00000,129.00000,-3597.00000,-3468.00000,272.00000,364.00000,-478.00000,-108.00000,2513.00000,996.00000,-19.00000,-1020.00000,139.00000,-268.00000,-129.00000,-555.00000,-1723.00000,-41.00000,-24.00000,-65.00000,-462.00000,-462.00000,-230.00000,-38.00000,-795.00000,-1522.00000,85.00000,-230.00000
2017-10-31,660,91,-6,85,-238,-615,423,-18,-130,680,-165,0,229,-362,-133,304,6,-22,43,21,-501,-501,-221,45,-656,30,55,-221
2017-07-31,696,90,299,389,-504,-459,1712,-39,642,1775,-61,0,2,-1037,-1035,-386,-1482,-21,972,951,-302,-302,-222,24,451,744,46,-222
2017-04-30,559,89,326,415,-325,-203,142,-33,-521,455,-75,0,-2,1,-1,-79,-155,-17,39,22,-223,-223,-224,17,-408,-108,48,-224
2017-01-31,611.00000,84.00000,205.00000,289.00000,614.00000,-69.00000,-116.00000,-506.00000,-152.00000,767.00000,-32.00000,,2.00000,-2.00000,,-54.00000,-86.00000,-19.00000,32.00000,13.00000,-386.00000,-386.00000,-227.00000,-38.00000,-638.00000,43.00000,75.00000,-227.00000
2016-10-31,492,83,-486,-403,-163,-542,690,-611,357,704,-140,308,0,-4,-4,0,164,-30,25,-5,-2,-2,-212,3,-216,652,42,-212
2016-07-31,783,85,448,533,-166,-471,1301,-293,-1,1071,-81,99,121,0,121,0,139,0,33,33,-57,-57,-212,26,-210,1000,39,-212
2016-04-30,629,85,169,254,190,520,41,-53,727,1579,-86,61,3,-122,-119,0,-144,-3,13,10,-305,-305,-213,21,-487,948,40,-213
2016-01-31,592.00000,79.00000,652.00000,731.00000,704.00000,202.00000,-1104.00000,-678.00000,-1410.00000,-102.00000,-120.00000,,9.00000,,9.00000,,-111.00000,-2151.00000,26.00000,-2125.00000,-797.00000,-797.00000,-221.00000,-10389.00000,-13532.00000,-13745.00000,61.00000,-221.00000
2015-10-31,1323,1007,-915,92,-627,137,389,142,979,3145,-847,63,56,-79,-23,0,-807,1813,-2832,-1019,-604,-604,-337,-116,-2076,262,233,-337
2015-07-31,854,1023,1178,2201,-295,-520,534,-319,-1760,1673,-817,-2322,123,-72,51,0,-3088,3659,775,4434,-272,-272,-318,-26,3818,2403,160,-318
2015-04-30,1011,1003,650,1653,-46,277,-40,-1342,-1359,1464,-698,-138,93,-58,35,0,-801,304,1781,2085,-617,-617,-291,9,1186,1849,129,-291
2015-01-31,1366.00000,1028.00000,113.00000,1141.00000,1540.00000,-224.00000,-852.00000,-2658.00000,-1901.00000,744.00000,-817.00000,-1.00000,30.00000,-50.00000,-20.00000,,-838.00000,-612.00000,77.00000,-535.00000,-1390.00000,-1390.00000,-304.00000,109.00000,-2120.00000,-2214.00000,187.00000,-304.00000
2014-10-31,1330,1075,880,1955,355,-211,716,-1478,-600,2701,-815,-23,123,-79,44,0,-794,-314,62,-252,-696,-696,-309,9,-1248,659,128,-309
2014-07-31,985,1055,818,1873,72,-476,1596,-593,738,3647,-928,0,680,-556,124,0,-804,-2738,26,-2712,-470,-470,-299,16,-3465,-622,132,-299
2014-04-30,1273,1087,332,1419,-801,126,765,183,256,2995,-720,-20,79,-316,-237,0,-977,-2070,58,-2012,-783,-783,-298,6,-3087,-1069,130,-298
2014-01-31,1425.00000,1117.00000,323.00000,1440.00000,2391.00000,-19.00000,-1165.00000,-1219.00000,158.00000,2990.00000,-547.00000,,465.00000,-135.00000,330.00000,,-217.00000,1960.00000,2.00000,1962.00000,-482.00000,-482.00000,-278.00000,27.00000,1229.00000,4002.00000,170.00000,-278.00000
2013-10-31,1414,1120,-409,711,-1058,441,611,-340,591,2816,-773,0,-874,703,-171,0,-944,-2223,16,-2207,-470,-470,-284,1,-2960,-1088,102,-284
2013-07-31,1390,1158,305,1463,273,-585,980,-870,-296,2674,-647,0,282,-296,-14,0,-661,-1750,-37,-1787,64,64,-280,1,-2002,11,107,-280
2013-04-30,1077,1170,580,1750,-349,289,640,93,670,3556,-620,-167,431,-198,233,0,-554,-1400,-28,-1428,-640,-640,-283,0,-2351,651,107,-283
2013-01-31,1232.00000,1163.00000,938.00000,2101.00000,2148.00000,-149.00000,-1690.00000,-824.00000,-938.00000,2562.00000,-506.00000,,161.00000,-299.00000,-138.00000,,-644.00000,-69.00000,-105.00000,-174.00000,-198.00000,-198.00000,-258.00000,,-630.00000,1288.00000,184.00000,-258.00000
2012-10-31,-6854,10048,663,10711,-748,892,782,-379,267,4059,-577,0,146,-179,-33,0,-610,-1057,-222,-1279,-118,-118,-260,0,-1657,1792,141,-260
2012-07-31,-8857,10494,1517,12011,956,-91,-345,-932,-398,2846,-773,6,170,-228,-58,0,-825,-513,239,-274,-289,-289,-260,0,-823,1198,150,-260
2012-04-30,1593,1285,271,1556,-832,-91,525,-432,-872,2473,-952,0,250,-565,-315,0,-1267,-544,-185,-729,-29,-29,-251,1,-1008,198,169,-251
2012-01-31,1468.00000,1303.00000,146.00000,1449.00000,2311.00000,180.00000,-2376.00000,-1871.00000,-1768.00000,1193.00000,-787.00000,-60.00000,96.00000,,96.00000,,-751.00000,2935.00000,-2607.00000,328.00000,-467.00000,-467.00000,-244.00000,11.00000,-372.00000,70.00000,175.00000,-244.00000
2011-10-31,239,2147,-162,1985,668,-113,153,-1047,20,2400,-1168,-10211,9,-96,-87,0,-11466,4579,262,4841,-449,-449,-239,3,4156,-4910,210,-239
2011-07-31,1926,1225,567,1792,388,-724,265,-535,-448,3207,-979,66,2,0,2,0,-911,3265,-534,2731,-4570,-4570,-248,6,-2081,215,148,-248
2011-04-30,2304,1242,234,1476,-2360,-82,769,1555,217,3962,-1010,-232,4,19,23,0,-1219,-217,2712,2495,-2342,-2342,-182,90,61,2804,147,-182
2011-01-31,2605.00000,1255.00000,992.00000,2247.00000,1752.00000,-333.00000,-912.00000,-1943.00000,-1678.00000,3070.00000,-383.00000,-14.00000,53.00000,-19.00000,34.00000,,-363.00000,1979.00000,-3710.00000,-1731.00000,-1860.00000,-1860.00000,-175.00000,64.00000,-3702.00000,-995.00000,180.00000,-175.00000
2010-10-31,2538,1264,829,2093,-3243,711,-570,1564,-1456,3151,-983,-4085,3,-1,2,0,-5066,2986,-837,2149,-3853,-3853,-181,11,-1874,-3789,121,-181
2010-07-31,1773,1210,895,2105,-864,-791,1420,-329,-649,3273,-1045,-1380,94,-22,72,0,-2353,-959,3138,2179,-2327,-2327,-205,20,-333,587,166,-205
2010-04-30,2200,1184,252,1436,-166,353,-280,-761,-607,3091,-794,-2519,103,-19,84,0,-3229,-143,1777,1634,-851,-851,-196,135,722,584,200,-196
2010-01-31,2250.00000,1162.00000,84.00000,1246.00000,1875.00000,-543.00000,-1268.00000,-1719.00000,-1176.00000,2407.00000,-709.00000,7.00000,0.00000,-9.00000,-9.00000,,-711.00000,-51.00000,78.00000,27.00000,-1394.00000,-1394.00000,-189.00000,128.00000,-1428.00000,268.00000,181.00000,-189.00000
2009-10-31,2412,1234,282,1516,-2184,-311,2075,43,-470,3433,-852,-43,171,-158,13,0,-882,-1507,10,-1497,-1201,-1201,-190,95,-2793,-242,134,-190
2009-07-31,1671,1179,807,1986,-141,-144,1278,-702,213,3856,-940,0,0,-50,-50,0,-990,929,-2417,-1488,-556,-556,-191,39,-2196,670,150,-191
2009-04-30,1721,1153,565,1718,-4,1831,-417,-584,1467,4964,-744,-3,-46,48,2,0,-745,2733,-4506,-1773,-607,-607,-192,15,-2557,1662,191,-192
2009-01-31,1856.00000,1214.00000,404.00000,1618.00000,1780.00000,156.00000,-3089.00000,-1461.00000,-2351.00000,1126.00000,-664.00000,-345.00000,46.00000,,46.00000,,-963.00000,1935.00000,57.00000,1992.00000,-939.00000,-939.00000,-193.00000,13.00000,873.00000,1036.00000,160.00000,-193.00000
