,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2020-06-30,5.5,12.4,12.5,24.9,0.7,-4.2,-7.9,22.5,-14.1,-58.3,164.3,164.3,0,91.9,292.3,292.3,40.1,40.1,-1052.2,-719.8,-603.3,15.3
2020-03-31,8.60000,12.10000,18.20000,30.30000,-4.50000,-31.90000,-37.50000,1.40000,-15.60000,,24.90000,24.90000,,9.30000,-2.70000,-2.70000,11.40000,11.40000,480.80000,489.50000,485.70000,12.50000
2019-12-31,-1.5,13.6,19.3,32.9,-5.8,-5.2,-5.4,26,-16.8,-0.8,23.1,23.1,0,5.5,-2.1,-2.1,10.3,10.3,584.4,592.6,628.2,10.5
2019-09-30,62.7,15.1,-58.4,-43.3,-7.2,1.3,-5,14.4,-12,-19.2,8.3,8.3,0,-22.9,-1.7,-1.7,32.6,32.6,-1363.4,-1332.5,-1341.2,10.4
2019-06-30,6.3,14.9,8.3,23.2,0.4,-11,-10.5,19,-12.5,0,28.2,28.2,0,15.7,-1.7,-1.7,24,24,-607.2,-584.9,-546.7,9.6
2019-03-31,11.20000,14.70000,5.90000,20.60000,-3.80000,-22.90000,-40.60000,-8.80000,-13.90000,-10.20000,-93.50000,-93.50000,,-117.60000,-1.70000,-1.70000,20.10000,20.10000,1916.10000,1934.50000,1812.00000,6.00000
2018-12-31,-2.1,14.4,12.7,27.1,-7.8,5.2,2.6,27.6,-11.5,0,-24,-24,0,-35.5,-1.7,-1.7,23.6,23.6,-789.6,-767.7,-786.2,5.2
2018-09-30,4.2,14.6,4.1,18.7,3.1,-6.1,-5.8,17.1,-9.9,0,13.7,13.7,0,3.8,0,0,7.8,7.8,-286.6,-278.8,-255.8,4.8
2018-06-30,-63.3,14.8,39.7,54.5,2.4,-0.7,-3,-11.8,-8.5,0,344.6,344.6,0,336.1,-452,-452,609.4,609.4,-592.6,-435.2,-111.2,10.5
2018-03-31,0.10000,14.90000,3.90000,18.80000,-1.30000,-45.30000,-42.30000,-23.40000,-10.30000,,-345.20000,-345.20000,,-355.50000,-0.30000,-0.30000,,,230.40000,230.10000,-152.30000,2.70000
2017-12-31,44.1,19.2,-48.2,15.1,-7.2,0,13,24.9,-18.7,-1.4,-14.7,-14.7,-620,-654.8,0,0,0,0,634.9,634.9,4,3.3
2017-09-30,-20.6,14.5,1.6,16.1,-1.7,-15,-21.6,-26.1,-12.9,0,5.2,5.2,289.2,281.5,-25.9,-25.9,0,0,-294.4,-320.3,-59.5,4.3
2017-06-30,-22.8,13,-0.4,12.6,10.6,6.4,16.3,6.1,-10.4,0,73.1,73.1,823.1,885.8,0,0,78.4,78.4,-896.4,-818,77.4,4
2017-03-31,-11.20000,14.90000,2.90000,17.80000,4.00000,-41.30000,-51.30000,-44.70000,-8.80000,0.90000,-51.90000,-51.90000,-860.10000,-919.90000,,,-1.80000,-1.80000,912.00000,910.20000,-53.70000,4.50000
2016-12-31,11.9,1.6,-54.4,-52.8,0,0,-20.1,-57.2,1.3,102.8,0,31.49,303.5,439.1,0,-4.8,0,75,-332.7,-262.5,141.1,0
2015-12-31,-104.7,59.2,29.8,89,0,0,-40.6,-18.3,-34.5,0,0,-53.59,412,323.9,0,-7,0,0,-361.2,-368.2,-72.9,0
