,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2013-10-31,125.4,48.6,16.3,64.9,0,0,-123.9,-123.9,66.4,-84.5,0,0,0,0,0,0,-84.5,750,750,-998.5,-998.5,0,-248.5,-266.6,0
2013-07-31,124.7,46.6,-0.5,46.1,0,0,0.2,0.2,171,-96.4,0,0,0,0,0,-0.3,-96.7,-1.5,-1.5,-42.2,-42.2,0.6,-43.1,30.4,0
2013-04-30,133.50000,45.10000,23.70000,68.80000,,,-73.00000,-73.00000,129.30000,-103.20000,,,,15.00000,15.00000,,-88.20000,,,-66.40000,-66.40000,9.00000,-57.40000,-16.60000,
2013-01-31,228.6,46.9,-0.7,46.2,-104,59.3,118.5,90.1,364.9,-76.5,0,0,0,-11,-11,0.3,-87.2,6.7,6.7,-113.7,-103.7,-3,-100,177.5,35.5
2012-10-31,155.4,43.6,-51.6,-8,0,0,-113.8,-113.8,33.6,-96.6,0,0,0,62.3,62.3,0,-34.3,0,0,-157.3,-157.3,0.2,-157.1,-157.4,0
2012-07-31,119.2,43,3.1,46.1,0,0,-20,-20,145.3,-74.7,0,0,0,0,0,-0.3,-75,-1.2,-1.2,-70.6,-70.6,0.5,-71.3,-2.5,0
2012-04-30,116.10000,41.80000,20.90000,62.70000,,,-44.30000,-44.30000,134.50000,-65.40000,,,,,,,-65.40000,,,1.40000,1.40000,23.60000,25.00000,94.00000,
2012-01-31,187.9,44,-2.4,41.6,-64.5,26.9,177,138.3,367.8,-53.3,0,0,0,-11,-11,0.2,-64.1,-2,-2,-298.4,-298.4,4.8,-295.6,8.1,31.6
2011-10-31,104.5,41.1,8.8,49.9,0,0,-94.9,-94.9,59.5,-75.5,0,0,123.8,0,123.8,0,48.3,0,0,-248.2,-248.2,0,-248.2,-141.4,0
2011-07-31,94.9,39.6,16.7,56.3,0,0,-48.3,-48.3,102.9,-63,0,0,15.2,0,15.2,-0.4,-48.2,0,0,-3.7,-3.7,-0.7,-4.4,50.3,0
2011-04-30,101.00000,39.20000,23.80000,63.00000,,,-7.70000,-7.70000,156.30000,-58.30000,,,35.80000,,35.80000,0.40000,-22.10000,,,-84.70000,-84.70000,9.70000,-75.00000,60.10000,
2011-01-31,162.5,42.1,4.7,46.8,-126.7,28.1,218,134.6,343.9,-32,-0.2,-49.4,-92.3,-14.4,-106.7,0.2,-188.1,-15.1,-15.1,-139.4,-139.4,1.1,-153.4,1.7,28.3
2010-10-31,93.2,38.9,14.2,53.1,0,0,-125.3,-125.3,21,-56.6,0,0,-31.5,-0.1,-31.6,0,-88.2,0,0,-52.8,-52.8,0.2,-52.6,-119.8,0
2010-07-31,78,39.4,0,39.4,0,0,0.6,0.6,118,-45,0,0,0.4,15.7,16.1,-0.2,-29.1,0,0,2.7,2.7,-0.9,1.8,90.7,0
2010-04-30,63.60000,39.30000,26.30000,65.60000,,,-93.40000,-93.40000,35.80000,-45.10000,,,-23.60000,,-23.60000,,-68.70000,,,-207.50000,-207.50000,7.40000,-200.10000,-233.00000,
2010-01-31,135,41.3,8.7,50,-4,27,148.4,173.4,358.4,-51,0,0,-27.8,-15.8,-43.6,0,-94.6,-0.4,-0.4,-34.3,-34.3,0.4,-34.3,229.5,21.7
2009-10-31,68.2,38.6,17.2,55.8,0,0,-35.4,-35.4,88.6,-45.8,0,0,0,0,0,0,-45.8,0,0,-59.7,-59.7,0.8,-58.9,-16.1,0
2009-07-31,56.9,39.1,0,39.1,0,0,-16.6,-16.6,79.4,-33.9,0,0,0,-4,-4,0,-37.9,0,0,-40.5,-40.5,2,-38.5,3,0
2009-04-30,60.40000,38.80000,2.00000,40.80000,,,-46.60000,-46.60000,54.60000,-34.10000,,,,-0.10000,-0.10000,,-34.20000,,,-30.30000,-30.30000,0.70000,-29.60000,-9.20000,
2009-01-31,229.5,161.7,41.6,203.3,-34.6,-7.5,49.2,-29.7,403.1,-131.3,-0.4,0,40.5,-10.8,29.7,0,-102,-1.2,-1.2,21.6,21.6,2.3,22.7,323.8,16.7
