,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2014-07-31,-32.106,9.882,84.973,94.855,-20.68,-10.065,52.275,-88.905,-26.156,-4.721,0.026,-86.299,-86.299,-90.994,449.4,449.4,86.532,86.532,0.242,536.174,419.024,33.115
2014-04-30,-146.587,4.989,27.872,32.861,-28.591,13.352,41.471,148.005,34.279,-5.896,-75.624,1.876,1.876,-79.644,0,0,18.204,18.204,0.084,18.288,-27.077,27.956
2014-01-31,-39.946,4.297,23.728,28.025,5.349,-4.182,41.135,53.317,41.396,-9.803,-10.102,-35.798,-35.798,-55.703,0,0,9.374,9.374,0.618,9.992,-4.315,24.346
2013-10-31,-7.86100,3.53200,14.32700,17.85900,-3.97800,-0.20500,28.01900,28.88300,38.88100,-15.68000,,-78.27900,-78.27900,-93.95900,,,10.59000,10.59000,0.05600,10.64600,-44.43200,14.38300
2013-07-31,-15.836,3.169,7.773,10.942,4.028,2.483,27.052,46.624,41.73,-5.847,0,50.919,50.919,45.072,0,0,3.563,3.563,6.585,10.148,96.95,14.096
2013-04-30,-7.282,3.376,12.507,15.883,-22.903,1.631,32.42,6.605,15.206,-6.359,0,1.95,1.95,-4.409,0,0,14.872,14.872,0.071,14.943,25.74,12.578
2013-01-31,-2.613,2.921,8.64,11.561,-12.217,0.64,24.315,25.559,34.507,-6.221,0,-13.517,-13.517,-19.738,0,0,1.274,1.274,-2.592,-1.318,13.451,8.746
2012-10-31,-3.51500,2.36900,8.28400,10.65300,-10.72700,1.07600,20.77000,15.93800,23.07600,-4.01500,,-168.47500,-168.47500,-172.49000,,,1.24500,1.24500,,1.24500,-148.16900,8.28400
2012-07-31,-4.599,1.941,6.272,-6.367,-6.846,-1.3,17.344,15.276,18.89,-3.284,0,0,0,-3.284,0,0,215.835,215.835,0.918,216.753,232.359,6.487
2012-04-30,0.796,1.719,3.851,5.57,-14.723,6.244,14.711,4.409,10.775,-4.218,0,0,0,-4.218,0,0,1.008,1.008,-0.104,0.904,7.461,3.851
2012-01-31,0.424,1.324,2.604,3.928,11.206,-1.901,9.893,22.759,27.111,-4.331,0,0,0,-4.331,0,0,0.178,0.178,0.038,0.216,22.996,2.05
2011-10-31,4.11600,1.15000,1.85300,3.00300,-5.60200,0.73600,16.24300,13.47300,20.59200,-2.73200,,,,-2.73200,,,0.22800,0.22800,1.22100,1.44900,19.30900,1.44900
2011-07-31,8.61,1.06,0,1.06,0,0,0,20.1,34.78,-11.32,0,0,0,-11.32,0,0,0,-0.15,0.89,0.75,24.21,0
2010-07-31,-21.13,1.12,0,1.12,0,0,0,16.03,-2.68,-1.68,0,0,0,-1.68,0,0,0,1.83,0,1.83,-2.53,0
