,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2020-03-31,5906.00000,590.00000,,330.00000,7119.00000,236.00000,,10261.00000,664.00000,12485.00000,19604.00000,2560.00000,2675.00000,890.00000,4023.00000,6583.00000,7999.00000,-628.00000,13021.00000,19604.00000
2019-12-31,5794.00000,848.00000,,328.00000,7292.00000,253.00000,,10295.00000,658.00000,12553.00000,19845.00000,2915.00000,2675.00000,945.00000,4125.00000,7040.00000,7813.00000,-619.00000,12805.00000,19845.00000
2019-09-30,4939.00000,386.00000,102.00000,345.00000,6012.00000,249.00000,,10347.00000,731.00000,11793.00000,17805.00000,1751.00000,2674.00000,1122.00000,3819.00000,5570.00000,7289.00000,-607.00000,12235.00000,17805.00000
2019-06-30,4592.00000,455.00000,46.00000,386.00000,5663.00000,259.00000,,10396.00000,721.00000,11832.00000,17495.00000,1639.00000,2673.00000,1186.00000,3879.00000,5518.00000,7085.00000,-608.00000,11977.00000,17495.00000
2019-03-31,4696.00000,594.00000,45.00000,518.00000,6037.00000,264.00000,,10443.00000,751.00000,11911.00000,17948.00000,2295.00000,2672.00000,1363.00000,4057.00000,6352.00000,6757.00000,-602.00000,11596.00000,17948.00000
2018-12-31,4225.00000,1035.00000,43.00000,539.00000,6106.00000,282.00000,,10497.00000,482.00000,11784.00000,17890.00000,2642.00000,2671.00000,1167.00000,3856.00000,6498.00000,6593.00000,-601.00000,11392.00000,17890.00000
2018-09-30,3308.00000,641.00000,174.00000,501.00000,4972.00000,281.00000,,10589.00000,454.00000,11741.00000,16713.00000,2382.00000,2670.00000,991.00000,3672.00000,6054.00000,5907.00000,-613.00000,10659.00000,16713.00000
2018-06-30,4857.00000,418.00000,36.00000,503.00000,6134.00000,281.00000,,10673.00000,415.00000,11824.00000,17958.00000,2060.00000,4394.00000,1145.00000,5552.00000,7612.00000,5647.00000,-605.00000,10346.00000,17958.00000
2018-03-31,5217.00000,431.00000,42.00000,422.00000,6410.00000,286.00000,,10751.00000,458.00000,11987.00000,18397.00000,2927.00000,4392.00000,1243.00000,5651.00000,8578.00000,5245.00000,-649.00000,9819.00000,18397.00000
2017-12-31,4713.00000,918.00000,46.00000,476.00000,6520.00000,294.00000,,10869.00000,440.00000,12148.00000,18668.00000,3663.00000,4390.00000,1132.00000,5543.00000,9206.00000,4916.00000,-638.00000,9462.00000,18668.00000
2017-09-30,3576.00000,888.00000,94.00000,451.00000,5386.00000,254.00000,,11056.00000,469.00000,12332.00000,17718.00000,2389.00000,4388.00000,934.00000,5362.00000,7751.00000,5501.00000,-642.00000,9967.00000,17718.00000
2017-06-30,3278.00000,360.00000,51.00000,314.00000,4352.00000,246.00000,,11242.00000,466.00000,12456.00000,16808.00000,1765.00000,4387.00000,903.00000,5328.00000,7093.00000,5312.00000,-640.00000,9715.00000,16808.00000
2017-03-31,3248.00000,344.00000,48.00000,346.00000,4356.00000,245.00000,,11436.00000,439.00000,12565.00000,16921.00000,2239.00000,4393.00000,812.00000,5246.00000,7485.00000,5069.00000,-625.00000,9436.00000,16921.00000
2016-12-31,3245.00000,732.00000,49.00000,392.00000,4830.00000,258.00000,,11626.00000,401.00000,12622.00000,17452.00000,2656.00000,4887.00000,746.00000,5677.00000,8333.00000,4869.00000,-629.00000,9119.00000,17452.00000
2016-09-30,4029.00000,446.00000,131.00000,314.00000,5334.00000,258.00000,,11857.00000,382.00000,13046.00000,18380.00000,3701.00000,4881.00000,937.00000,5861.00000,9562.00000,4616.00000,-653.00000,8818.00000,18380.00000
2016-06-30,2271.00000,462.00000,94.00000,306.00000,3420.00000,260.00000,,12052.00000,320.00000,13187.00000,16607.00000,2191.00000,4977.00000,835.00000,5862.00000,8053.00000,4366.00000,-649.00000,8554.00000,16607.00000
2016-03-31,2872.00000,383.00000,103.00000,354.00000,4008.00000,246.00000,,12256.00000,316.00000,13294.00000,17302.00000,2322.00000,5777.00000,798.00000,6632.00000,8954.00000,4239.00000,-643.00000,8348.00000,17302.00000
2015-12-31,1823.00000,679.00000,128.00000,421.00000,3387.00000,189.00000,,7577.00000,3738.00000,11859.00000,15246.00000,2611.00000,4074.00000,483.00000,4567.00000,7178.00000,4096.00000,-633.00000,8068.00000,15246.00000
2015-09-30,4519.00000,503.00000,238.00000,334.00000,6309.00000,200.00000,9.00000,7540.00000,171.00000,7993.00000,14302.00000,1610.00000,4078.00000,515.00000,4703.00000,6313.00000,3937.00000,-544.00000,7989.00000,14302.00000
2015-06-30,4521.00000,201.00000,117.00000,528.00000,6051.00000,179.00000,9.00000,7543.00000,153.00000,7964.00000,14015.00000,1545.00000,4077.00000,466.00000,4669.00000,6214.00000,3810.00000,-545.00000,7801.00000,14015.00000
2015-03-31,4470.00000,208.00000,102.00000,360.00000,5863.00000,158.00000,9.00000,7563.00000,138.00000,7914.00000,13777.00000,1899.00000,4075.00000,441.00000,4640.00000,6539.00000,3598.00000,-619.00000,7238.00000,13777.00000
2014-12-31,4858.00000,659.00000,123.00000,449.00000,6541.00000,157.00000,9.00000,7566.00000,85.00000,8101.00000,14642.00000,2714.00000,4324.00000,361.00000,4695.00000,7409.00000,3374.00000,-303.00000,7233.00000,14642.00000
2014-09-30,3828.00000,689.00000,222.00000,379.00000,5957.00000,162.00000,9.00000,7559.00000,90.00000,7898.00000,13855.00000,2112.00000,4322.00000,347.00000,4751.00000,6863.00000,3013.00000,-157.00000,6992.00000,13855.00000
2014-06-30,4204.00000,107.00000,151.00000,262.00000,5474.00000,162.00000,9.00000,7561.00000,86.00000,7886.00000,13360.00000,1443.00000,4321.00000,343.00000,4746.00000,6189.00000,3036.00000,44.00000,7171.00000,13360.00000
2014-03-31,4287.00000,219.00000,158.00000,333.00000,5694.00000,152.00000,9.00000,7563.00000,66.00000,7834.00000,13528.00000,1893.00000,4320.00000,305.00000,4711.00000,6604.00000,2832.00000,63.00000,6924.00000,13528.00000
2013-12-31,4443.00000,510.00000,171.00000,429.00000,6241.00000,138.00000,9.00000,7568.00000,35.00000,7771.00000,14012.00000,2405.00000,4668.00000,251.00000,4985.00000,7390.00000,2686.00000,68.00000,6622.00000,14012.00000
2013-09-30,6821.00000,205.00000,313.00000,224.00000,8251.00000,139.00000,9.00000,7589.00000,18.00000,7809.00000,16060.00000,1433.00000,2211.00000,206.00000,2488.00000,3921.00000,2513.00000,18.00000,12139.00000,16060.00000
2013-06-30,4546.00000,117.00000,131.00000,196.00000,5629.00000,132.00000,9.00000,7596.00000,10.00000,7782.00000,13411.00000,1193.00000,,206.00000,283.00000,1476.00000,2456.00000,-62.00000,11935.00000,13411.00000
2013-03-31,4618.00000,237.00000,159.00000,237.00000,5803.00000,133.00000,9.00000,7610.00000,10.00000,7922.00000,13725.00000,1899.00000,,208.00000,291.00000,2190.00000,2132.00000,-95.00000,11535.00000,13725.00000
2012-12-31,4375.00000,707.00000,209.00000,332.00000,6274.00000,141.00000,8.00000,7637.00000,11.00000,7926.00000,14200.00000,2652.00000,,206.00000,231.00000,2883.00000,1893.00000,-26.00000,11317.00000,14200.00000
2012-09-30,3364.00000,200.00000,291.00000,186.00000,4702.00000,148.00000,19.00000,7624.00000,12.00000,7959.00000,12661.00000,1555.00000,,163.00000,223.00000,1778.00000,1539.00000,-74.00000,10883.00000,12661.00000
2012-06-30,3192.00000,227.00000,128.00000,160.00000,4332.00000,149.00000,17.00000,7636.00000,12.00000,7937.00000,12269.00000,1484.00000,,160.00000,221.00000,1705.00000,1313.00000,-124.00000,10564.00000,12269.00000
2012-03-31,3476.00000,103.00000,146.00000,248.00000,4566.00000,154.00000,17.00000,7639.00000,15.00000,7916.00000,12482.00000,1774.00000,,165.00000,222.00000,1996.00000,1128.00000,-33.00000,10486.00000,12482.00000
2011-12-31,3525.00000,649.00000,144.00000,418.00000,5380.00000,163.00000,16.00000,7644.00000,12.00000,7897.00000,13277.00000,2556.00000,,174.00000,229.00000,2785.00000,948.00000,-72.00000,10492.00000,13277.00000
2011-09-30,2901.00000,139.00000,207.00000,178.00000,4082.00000,167.00000,25.00000,7710.00000,15.00000,8031.00000,12113.00000,1279.00000,,168.00000,263.00000,1542.00000,849.00000,-29.00000,10571.00000,12113.00000
2011-06-30,2944.00000,140.00000,93.00000,140.00000,3954.00000,163.00000,25.00000,7723.00000,17.00000,8018.00000,11972.00000,1246.00000,,164.00000,261.00000,1507.00000,701.00000,29.00000,10465.00000,11972.00000
2011-03-31,3359.00000,95.00000,103.00000,199.00000,4349.00000,165.00000,25.00000,7748.00000,25.00000,8028.00000,12377.00000,1891.00000,,166.00000,249.00000,2140.00000,366.00000,26.00000,10237.00000,12377.00000
2010-12-31,3508.00000,673.00000,112.00000,344.00000,5432.00000,169.00000,23.00000,7753.00000,15.00000,8015.00000,13447.00000,2960.00000,,164.00000,284.00000,3244.00000,57.00000,-13.00000,10203.00000,13447.00000
2010-09-30,2849.00000,246.00000,258.00000,128.00000,4148.00000,169.00000,23.00000,8179.00000,14.00000,8422.00000,12570.00000,1393.00000,,200.00000,431.00000,1824.00000,290.00000,-9.00000,10746.00000,12570.00000
2010-06-30,2846.00000,190.00000,157.00000,155.00000,3968.00000,160.00000,23.00000,8199.00000,13.00000,8425.00000,12393.00000,1090.00000,,196.00000,445.00000,1535.00000,239.00000,-57.00000,10858.00000,12393.00000
2010-03-31,3342.00000,134.00000,194.00000,204.00000,4486.00000,131.00000,23.00000,8211.00000,11.00000,8380.00000,12866.00000,1542.00000,,202.00000,456.00000,1998.00000,20.00000,-44.00000,10868.00000,12866.00000
2009-12-31,3245.00000,739.00000,241.00000,382.00000,5329.00000,138.00000,23.00000,8233.00000,9.00000,8413.00000,13742.00000,2507.00000,,209.00000,479.00000,2986.00000,-361.00000,-24.00000,10756.00000,13742.00000
2009-09-30,2721.00000,228.00000,351.00000,228.00000,4508.00000,133.00000,22.00000,8762.00000,12.00000,8944.00000,13452.00000,1285.00000,,190.00000,875.00000,2160.00000,-75.00000,-5.00000,11292.00000,13452.00000
2009-06-30,2830.00000,282.00000,198.00000,177.00000,4510.00000,134.00000,23.00000,8820.00000,16.00000,9009.00000,13519.00000,1091.00000,,198.00000,897.00000,1988.00000,-90.00000,-14.00000,11531.00000,13519.00000
2009-03-31,3030.00000,185.00000,230.00000,249.00000,4510.00000,138.00000,79.00000,8895.00000,23.00000,9141.00000,13651.00000,1314.00000,,181.00000,889.00000,2203.00000,-285.00000,-46.00000,11448.00000,13651.00000
