,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2020-07-31,4756.00000,2806.00000,3952.00000,734.00000,12248.00000,1530.00000,1538.00000,3631.00000,8923.00000,21171.00000,4285.00000,5447.00000,1870.00000,7317.00000,11602.00000,9.00000,26278.00000,-277.00000,9569.00000,21171.00000
2020-04-30,5704.00000,2625.00000,3725.00000,681.00000,12735.00000,1534.00000,1678.00000,3558.00000,9080.00000,21815.00000,4765.00000,6215.00000,1811.00000,8026.00000,12791.00000,9.00000,25638.00000,-315.00000,9024.00000,21815.00000
2020-01-31,3960.00000,2679.00000,3472.00000,658.00000,10769.00000,1555.00000,1713.00000,3541.00000,8998.00000,19767.00000,4569.00000,4714.00000,1824.00000,6538.00000,11107.00000,9.00000,25085.00000,-188.00000,8660.00000,19767.00000
2019-10-31,3618.00000,2533.00000,3474.00000,581.00000,10206.00000,1529.00000,1703.00000,3555.00000,8818.00000,19024.00000,4447.00000,4713.00000,1650.00000,6363.00000,10810.00000,9.00000,24386.00000,-180.00000,8214.00000,19024.00000
2019-07-31,3561.00000,2373.00000,3539.00000,569.00000,10042.00000,1513.00000,1650.00000,3569.00000,8763.00000,18805.00000,3785.00000,5312.00000,1592.00000,6904.00000,10689.00000,9.00000,23880.00000,-137.00000,8116.00000,18805.00000
2019-04-30,3623.00000,2264.00000,3677.00000,498.00000,10062.00000,1494.00000,1609.00000,3584.00000,8713.00000,18775.00000,3605.00000,5311.00000,1658.00000,6969.00000,10574.00000,9.00000,23502.00000,-138.00000,8201.00000,18775.00000
2019-01-31,3712.00000,2444.00000,3703.00000,426.00000,10285.00000,1456.00000,1588.00000,3567.00000,8637.00000,18922.00000,3776.00000,5310.00000,1627.00000,6937.00000,10713.00000,9.00000,23032.00000,-154.00000,8209.00000,18922.00000
2018-10-31,4030.00000,2323.00000,3721.00000,530.00000,10604.00000,1407.00000,1568.00000,3581.00000,7029.00000,17633.00000,3922.00000,5309.00000,1557.00000,6866.00000,10788.00000,10.00000,20880.00000,-125.00000,6845.00000,17633.00000
2018-07-31,3984.00000,2882.00000,3681.00000,342.00000,10889.00000,1321.00000,1613.00000,3631.00000,6994.00000,17883.00000,4322.00000,5308.00000,1428.00000,6736.00000,11058.00000,10.00000,20191.00000,-77.00000,6825.00000,17883.00000
2018-04-30,5352.00000,2665.00000,3494.00000,380.00000,11891.00000,1257.00000,1214.00000,3681.00000,6607.00000,18498.00000,4580.00000,5306.00000,1570.00000,6876.00000,11456.00000,10.00000,19216.00000,-78.00000,7042.00000,18498.00000
2018-01-31,7454.00000,2182.00000,3125.00000,268.00000,13029.00000,1195.00000,1203.00000,3730.00000,6634.00000,19663.00000,4399.00000,5305.00000,1453.00000,6758.00000,11157.00000,11.00000,18288.00000,-79.00000,8506.00000,19663.00000
2017-10-31,7276.00000,2338.00000,2930.00000,374.00000,12918.00000,1066.00000,1143.00000,3780.00000,6501.00000,19419.00000,4115.00000,5304.00000,651.00000,5955.00000,10070.00000,11.00000,18258.00000,-64.00000,9349.00000,19419.00000
2017-07-31,7231.00000,2258.00000,2876.00000,366.00000,12731.00000,996.00000,1059.00000,3818.00000,6347.00000,19078.00000,4371.00000,5303.00000,688.00000,5991.00000,10362.00000,11.00000,17383.00000,-101.00000,8716.00000,19078.00000
2017-04-30,6744.00000,2381.00000,2609.00000,284.00000,12018.00000,969.00000,961.00000,3820.00000,6222.00000,18240.00000,4097.00000,5302.00000,629.00000,5931.00000,10028.00000,11.00000,16564.00000,-110.00000,8212.00000,18240.00000
2017-01-31,4147.00000,2369.00000,2281.00000,297.00000,9094.00000,949.00000,909.00000,3843.00000,6150.00000,15244.00000,3808.00000,3125.00000,624.00000,3749.00000,7557.00000,11.00000,15847.00000,-106.00000,7687.00000,15244.00000
2016-10-31,3749.00000,2279.00000,2050.00000,275.00000,8353.00000,937.00000,929.00000,3891.00000,6217.00000,14570.00000,3632.00000,3125.00000,596.00000,3721.00000,7353.00000,11.00000,15252.00000,-115.00000,7217.00000,14570.00000
2016-07-31,3266.00000,1852.00000,2026.00000,255.00000,7399.00000,905.00000,960.00000,3926.00000,6300.00000,13699.00000,2964.00000,3343.00000,573.00000,3916.00000,6880.00000,11.00000,14750.00000,-87.00000,6819.00000,13699.00000
2016-04-30,2640.00000,1913.00000,1924.00000,251.00000,6728.00000,904.00000,934.00000,3972.00000,6347.00000,13075.00000,2611.00000,3343.00000,556.00000,3899.00000,6510.00000,11.00000,14353.00000,-95.00000,6565.00000,13075.00000
2016-01-31,3116.00000,1625.00000,1835.00000,334.00000,6910.00000,908.00000,996.00000,4016.00000,6416.00000,13326.00000,2307.00000,3343.00000,508.00000,3851.00000,6158.00000,11.00000,14142.00000,-94.00000,7168.00000,13326.00000
2015-10-31,4965.00000,1739.00000,1833.00000,724.00000,9261.00000,892.00000,946.00000,4064.00000,6047.00000,15308.00000,3798.00000,3342.00000,555.00000,3897.00000,7695.00000,11.00000,13967.00000,-92.00000,7613.00000,15308.00000
2015-07-31,2743.00000,1991.00000,1739.00000,570.00000,7043.00000,882.00000,958.00000,4115.00000,6110.00000,13153.00000,3020.00000,1547.00000,609.00000,2156.00000,5176.00000,12.00000,13747.00000,-118.00000,7977.00000,13153.00000
2015-04-30,3230.00000,1798.00000,1713.00000,706.00000,7447.00000,887.00000,936.00000,4164.00000,6140.00000,13587.00000,2696.00000,1947.00000,593.00000,2540.00000,5236.00000,12.00000,13538.00000,-125.00000,8351.00000,13587.00000
2015-01-31,3087.00000,1580.00000,1641.00000,625.00000,6933.00000,864.00000,930.00000,4209.00000,6140.00000,13073.00000,2521.00000,1947.00000,533.00000,2480.00000,5001.00000,12.00000,13297.00000,-77.00000,8072.00000,13073.00000
2014-10-31,3162.00000,1670.00000,1567.00000,568.00000,6967.00000,861.00000,935.00000,4255.00000,6207.00000,13174.00000,2823.00000,1947.00000,536.00000,2483.00000,5306.00000,12.00000,13072.00000,-76.00000,7868.00000,13174.00000
2014-07-31,2871.00000,1622.00000,1547.00000,600.00000,6640.00000,849.00000,957.00000,4273.00000,6211.00000,12851.00000,2755.00000,1947.00000,465.00000,2412.00000,5167.00000,12.00000,12938.00000,-42.00000,7684.00000,12851.00000
2014-04-30,2599.00000,1615.00000,1564.00000,623.00000,6401.00000,855.00000,836.00000,4312.00000,6154.00000,12555.00000,2662.00000,1947.00000,471.00000,2418.00000,5080.00000,12.00000,12759.00000,-41.00000,7475.00000,12555.00000
2014-01-31,2289.00000,1510.00000,1533.00000,682.00000,6014.00000,846.00000,833.00000,4351.00000,6185.00000,12199.00000,2477.00000,1946.00000,535.00000,2481.00000,4958.00000,12.00000,12619.00000,-44.00000,7241.00000,12199.00000
2013-10-31,1891.00000,1633.00000,1413.00000,705.00000,5642.00000,850.00000,1005.00000,4397.00000,6401.00000,12043.00000,2443.00000,1946.00000,566.00000,2512.00000,4955.00000,12.00000,12487.00000,-38.00000,7088.00000,12043.00000
2013-07-31,1975.00000,1170.00000,1358.00000,734.00000,5237.00000,872.00000,1055.00000,4442.00000,6514.00000,11751.00000,2202.00000,1946.00000,649.00000,2595.00000,4797.00000,12.00000,12425.00000,-61.00000,6954.00000,11751.00000
2013-04-30,1770.00000,1275.00000,1318.00000,750.00000,5113.00000,886.00000,1080.00000,4488.00000,6582.00000,11695.00000,2201.00000,1946.00000,650.00000,2596.00000,4797.00000,12.00000,12378.00000,-54.00000,6898.00000,11695.00000
2013-01-31,1753.00000,1109.00000,1278.00000,625.00000,4765.00000,900.00000,1062.00000,4820.00000,6949.00000,11714.00000,1965.00000,1946.00000,662.00000,2608.00000,4573.00000,12.00000,12626.00000,-62.00000,7141.00000,11714.00000
2012-10-31,1937.00000,1220.00000,1272.00000,673.00000,5102.00000,910.00000,1055.00000,4873.00000,7000.00000,12102.00000,2265.00000,1946.00000,656.00000,2602.00000,4867.00000,12.00000,12700.00000,-61.00000,7235.00000,12102.00000
2012-07-31,2164.00000,1535.00000,1380.00000,288.00000,5865.00000,917.00000,1058.00000,5349.00000,7455.00000,13320.00000,2408.00000,1946.00000,241.00000,2573.00000,4981.00000,12.00000,13323.00000,-5.00000,8339.00000,13320.00000
2012-04-30,2170.00000,1785.00000,1594.00000,209.00000,6330.00000,939.00000,1071.00000,5403.00000,7547.00000,13877.00000,2666.00000,1946.00000,562.00000,2508.00000,5174.00000,13.00000,13217.00000,7.00000,8703.00000,13877.00000
2012-01-31,1997.00000,1576.00000,1772.00000,240.00000,6157.00000,956.00000,955.00000,5394.00000,7440.00000,13597.00000,2494.00000,1947.00000,506.00000,2453.00000,4947.00000,13.00000,13043.00000,7.00000,8650.00000,13597.00000
2011-10-31,6243.00000,1532.00000,1701.00000,299.00000,10355.00000,866.00000,931.00000,1546.00000,3506.00000,13861.00000,2794.00000,1947.00000,216.00000,2267.00000,5061.00000,13.00000,13029.00000,6.00000,8800.00000,13861.00000
2011-07-31,5757.00000,1812.00000,1849.00000,314.00000,10273.00000,854.00000,1052.00000,1558.00000,3830.00000,14103.00000,3278.00000,1947.00000,327.00000,2274.00000,5552.00000,13.00000,12678.00000,-4.00000,8551.00000,14103.00000
2011-04-30,3308.00000,2026.00000,1794.00000,271.00000,7944.00000,898.00000,1269.00000,1572.00000,4013.00000,11957.00000,3251.00000,204.00000,320.00000,524.00000,3775.00000,13.00000,12308.00000,1.00000,8182.00000,11957.00000
2011-01-31,2746.00000,1946.00000,1647.00000,291.00000,7142.00000,893.00000,1351.00000,1609.00000,4132.00000,11274.00000,2914.00000,204.00000,317.00000,521.00000,3435.00000,13.00000,11925.00000,0.00000,7839.00000,11274.00000
2010-10-31,2585.00000,1831.00000,1547.00000,289.00000,6765.00000,963.00000,1307.00000,1623.00000,4178.00000,10943.00000,2888.00000,204.00000,315.00000,519.00000,3407.00000,13.00000,11511.00000,2.00000,7536.00000,10943.00000
2010-07-31,2348.13600,1721.49600,1590.05200,314.62200,6551.74800,983.79000,1279.51500,1636.82700,4174.40000,10726.15000,2889.47200,204.43800,354.09900,558.53700,3448.00900,13.36100,11135.75000,6.57000,7278.13900,10726.15000
2010-04-30,2334.86200,1437.74600,1690.44500,277.50600,6173.29400,1083.52500,1230.21400,1682.65400,4276.45500,10449.75000,2575.82000,204.84700,348.00100,552.84800,3128.66800,13.43000,11106.14000,-0.70300,7321.08100,10449.75000
2010-01-31,2154.17600,1370.12000,1664.26900,242.71200,5849.26300,1128.66900,1046.11600,1710.42600,4154.57500,10003.84000,2277.94800,210.54700,367.20000,577.74700,2855.69500,13.43300,10936.15000,-0.51100,7148.14300,10003.84000
2009-10-31,2214.73000,1226.25500,1627.45700,264.16900,5688.94700,1090.43300,1052.16500,1477.34800,3885.29600,9574.24300,1939.45700,200.65400,339.52400,540.17800,2479.63500,13.40900,10934.00000,-1.68000,7094.60800,9574.24300
2009-07-31,2138.65800,1264.10400,1748.50700,308.81700,5764.79200,1088.05800,990.16700,1499.09100,3815.48900,9580.28100,2038.98300,201.20000,326.48900,527.68900,2566.67200,13.33700,10896.83000,5.74800,7013.60900,9580.28100
2009-04-30,2064.36500,1214.79300,1901.02400,344.59900,5914.80600,1090.12300,1000.70500,1518.85700,3834.29300,9749.09900,2132.83300,201.16500,319.20200,520.36700,2653.20000,13.33000,11031.71000,-3.52800,7095.89900,9749.09900
2009-01-31,1917.39200,1462.03600,2131.09200,366.42800,6279.66800,1108.18600,1274.72200,1538.72000,4147.93500,10427.60000,2529.73100,201.89500,339.30600,541.20100,3070.93200,13.29300,11386.76000,-11.50400,7356.67100,10427.60000
